Date : 2026-05-07 10:59:21
Directory : /home/posedge/work/aiEngine_integrated/picorv32
Total : 133 files,  15176 codes, 907 comments, 2919 blanks, all 19002 lines

Languages
+---------------------------+------------+------------+------------+------------+------------+
| language                  | files      | code       | comment    | blank      | total      |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys-cmp/vivado.tcl               | Tcl                       |          3 |          0 |          1 |          4 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys/synth_gates.v                | Verilog                   |         28 |          0 |          3 |         31 |
| /home/posedge/work/aiEngine_integrated/picorv32/scripts/yosys/synth_osu018.sh              | Shell Script              |          7 |          1 |          1 |          9 |
| /home/posedge/work/aiEngine_integrated/picorv32/showtrace.py                               | Python                    |         51 |          1 |         15 |         67 |
| /home/posedge/work/aiEngine_integrated/picorv32/testbench.cc                               | C++                       |         36 |          2 |          7 |         45 |
| /home/posedge/work/aiEngine_integrated/picorv32/testbench.v                                | Verilog                   |        414 |          7 |         59 |        480 |
| /home/posedge/work/aiEngine_integrated/picorv32/testbench_ez.v                             | Verilog                   |         70 |          6 |         11 |         87 |
| /home/posedge/work/aiEngine_integrated/picorv32/testbench_wb.v                             | Verilog                   |        250 |          1 |         43 |        294 |
| /home/posedge/work/aiEngine_integrated/picorv32/tests/riscv_test.h                         | C++                       |         57 |          0 |          8 |         65 |
| /home/posedge/work/aiEngine_integrated/picorv32/tests/test_macros.h                        | C++                       |        505 |          1 |         80 |        586 |
| Total                                                                                      |                           |     15,176 |        907 |      2,919 |     19,002 |
+--------------------------------------------------------------------------------------------+---------------------------+------------+------------+------------+------------+
